author,title,text,cleaned_text
SteveinTenn,Have the Trump supporters around you gotten quiet?,Mine have suddenly lost interest in discussing politics. Or egg prices. Or wars. As the inauguration nears they’ve pretty much gone silent and deep. We got one day of “God gave us Trump back!” then nothing. Especially as the cabinet nominees have been announced. ,mine have suddenly lost interest in discussing politics or egg price or war a the inauguration nears they ve pretty much gone silent and deep we got one day of god gave u trump back then nothing especially a the cabinet nominee have been announced
MsMcSlothyFace,"Conservatives, are you excited about Donald Trump taking office?","Do you believe he will fix inflation, immigration, housing crisis, etc? Are you a trump supporter (maga) or did you vote for him solely because he was the republican candidate?",do you believe he will fix inflation immigration housing crisis etc are you a trump supporter maga or did you vote for him solely because he wa the republican candidate
soccerorfootie,BREAKING: Donald Trump to sign 200+ executive orders tomorrow.,"BREAKING: Donald Trump to sign 200+ executive orders tomorrow.

Per FOX and Eric Daugherty, they include:
- Declare emergency at the border + issue proclamation closing the border
- Designate cartels as foreign terrorist organizations
- Remain in Mexico, Catch and Release will be reinstated 
- Military will be directed to construct new phase of border wall
- Terminate Biden orders on energy drilling restrictions
- Return federal workers to in-person work
 - Pause all offshore wind leases
- End DEI hiring practices in the federal government, merit only
- Withdraw from the Paris Climate Accord
- Order every agency to remove all federal actions increasing costs for Americans via deregulation
- Suspend security clearances for the 51 officials who lied about the Hunter Biden 2020 laptop story
- Establish a DOGE ""hiring freeze""",breaking donald trump to sign executive order tomorrow per fox and eric daugherty they include declare emergency at the border issue proclamation closing the border designate cartel a foreign terrorist organization remain in mexico catch and release will be reinstated military will be directed to construct new phase of border wall terminate biden order on energy drilling restriction return federal worker to in person work pause all offshore wind lease end dei hiring practice in the federal government merit only withdraw from the paris climate accord order every agency to remove all federal action increasing cost for american via deregulation suspend security clearance for the official who lied about the hunter biden laptop story establish a doge hiring freeze
Leksi_The_Great,Trump has won. Here’s what we do now:,"At this point, it’s over. Our discussion should be solely on what we can do from here given our new grim reality. 

1. It’s alright to cry, and to feel scared for what’s to come. We should give ourselves a few days to grieve what we, or at least I, thought the United States was.

2. Update all your ID documents NOW, if you can. A Trump-controlled executive branch will place all sorts of restrictions on us, and the FDA might restrict our HRT. Legally female individuals will not have trouble accessing that medication. If you are in any state but Tennessee, Montana, Florida, Texas, and Oklahoma, this is still something you can do. Doing this will make you safe from any laws that could be made to target the trans community. I live in Texas, but was born in California, so I’m going to start the name and gender change process in the next few days. Do everything: name, gender, passport, driver’s license, and any other ID you might have.

3. Make plans to move to a blue state. The hate is going to get unprecedented in the next four years. Blue states will still be great states to live in, and they will continue to be safe for us no matter what Trump tries. You can also explore moving to a country like Canada if you have the option.

4. We will not back down. We’ve fought so hard for the rights and visibility we have now. We will not lose it. We will never give up.

To all my sisters here who are also worried, I send you hugs <3",at this point it s over our discussion should be solely on what we can do from here given our new grim reality it s alright to cry and to feel scared for what s to come we should give ourselves a few day to grieve what we or at least i thought the united state wa update all your id document now if you can a trump controlled executive branch will place all sort of restriction on u and the fda might restrict our hrt legally female individual will not have trouble accessing that medication if you are in any state but tennessee montana florida texas and oklahoma this is still something you can do doing this will make you safe from any law that could be made to target the trans community i live in texas but wa born in california so i m going to start the name and gender change process in the next few day do everything name gender passport driver s license and any other id you might have make plan to move to a blue state the hate is going to get unprecedented in the next four year blue state will still be great state to live in and they will continue to be safe for u no matter what trump try you can also explore moving to a country like canada if you have the option we will not back down we ve fought so hard for the right and visibility we have now we will not lose it we will never give up to all my sister here who are also worried i send you hug
TemporaryMagician,"
Trump won. Here’s what we do next.
","I know this was not the outcome that we hoped for. Patriarchy fucking struck back last night in the US, and I know a lot of us are not ok this morning. We are hurt, disappointed, and lost.



Here’s what we do: take a few minutes and feel our feelings, maybe listen to a sad song or two, and cry it out. 



Then, we go to work. Literally, we go to our jobs and make some money. We go to the gym. Lift weights. Get in our walk or run. Eat nourishing food. Plant a seed or water a houseplant.  Check on our friends and loved ones, especially if they’re queer or not white. Give our pets an extra treat today. Reach out to our friends and loved ones if we are struggling. 



Because we need to survive. We have to be strong for the next few years. I don’t know what those will look like, but what I do know is that we all have people depending on us. We need to be healthy, and we need to have funds. Take your anger, and let it fuel you to be someone who can endure, and shelter others who need it, for the next four years. Our trans friends need us. Our black friends need us. Our queer friends, our young friends, our international friends, they need us to have their backs.



Remember, we are witches. We are the poison ivy that you thought you uprooted last year but pops back up in the summertime. We are the blackberry brambles that cover the burned ground and grow thorns to protect their young fruit. We are the oaks that the lightning split once, but we still shade the ground and shelter the outcasts at the edge of the forest.



We are stubborn and we endure.

",i know this wa not the outcome that we hoped for patriarchy fucking struck back last night in the u and i know a lot of u are not ok this morning we are hurt disappointed and lost here s what we do take a few minute and feel our feeling maybe listen to a sad song or two and cry it out then we go to work literally we go to our job and make some money we go to the gym lift weight get in our walk or run eat nourishing food plant a seed or water a houseplant check on our friend and loved one especially if they re queer or not white give our pet an extra treat today reach out to our friend and loved one if we are struggling because we need to survive we have to be strong for the next few year i don t know what those will look like but what i do know is that we all have people depending on u we need to be healthy and we need to have fund take your anger and let it fuel you to be someone who can endure and shelter others who need it for the next four year our trans friend need u our black friend need u our queer friend our young friend our international friend they need u to have their back remember we are witch we are the poison ivy that you thought you uprooted last year but pop back up in the summertime we are the blackberry bramble that cover the burned ground and grow thorn to protect their young fruit we are the oak that the lightning split once but we still shade the ground and shelter the outcast at the edge of the forest we are stubborn and we endure
8O8I,Elon's weird behavior at Donald Trump's inauguration. ,Is he okay?,is he okay
Conscious-Quarter423,Trump RAISES prescription drug costs by as much as 4200%.,"Trump RAISES prescription drug costs by as much as 4200%.  
  
He just reversed all the cost caps Biden negotiated for anyone on Medicare or Medicaid, over 120 MILLION Americans.  
  
He's pro Big Pharma -- and pro Big Insurance.  
  
He doesn't care about you.  It was all LIES.",trump raise prescription drug cost by a much a he just reversed all the cost cap biden negotiated for anyone on medicare or medicaid over million american he s pro big pharma and pro big insurance he doesn t care about you it wa all lie
SprocketTheWetToad,I remember when Trump won in 2016. His victory feels darker this time.,"It’s the mood of it, I think. Something that is hard to put my finger on. Gone is the exaggerated Trump of 2015 and 2016. All I see when he speaks and acts is a man who clearly has vengeance on his mind.

Take the Capitol One Arena rally last night, for example. He signed Executive Orders in a rush in front of the TV cameras. The spectacle isn’t Trump being goofy and unorthodox anymore. The spectacle is Trump flexing his power in front of everyone who ever challenged him.

He’s a man with nothing to lose at this point. And I’m not sure what that means for the country.",it s the mood of it i think something that is hard to put my finger on gone is the exaggerated trump of and all i see when he speaks and act is a man who clearly ha vengeance on his mind take the capitol one arena rally last night for example he signed executive order in a rush in front of the tv camera the spectacle isn t trump being goofy and unorthodox anymore the spectacle is trump flexing his power in front of everyone who ever challenged him he s a man with nothing to lose at this point and i m not sure what that mean for the country
arby34,The US deserves every consequence from electing Donald Trump again,"With news of ICE raids starting to deter immigrant farm workers from showing up to work and the price of foods poised to sky-rocket, the US deserves every possible consequence of giving Donald Trump power again. Hopefully once families literally begin starving because they can't afford to buy food, the huge population of minority folks are consciously excluded from colleges and the workplace because they can be discriminated against, and very preventable diseases make a comeback because of anti-vaccine conspiracies being an official government position, America will wake the fuck up and realize that's not the type of country we want to live in. Or maybe it is. I guess we'll find out here shortly. 

Edit: Holy cow I had no idea this post was going to blow up like this. I thought maybe only a dozen or so people would see this. But just to be clear since my initial post may have come off fairly insensitive - I absolutely DO NOT WANT ANY of our citizens to suffer or have to deal with unnecessary hardship. I want an economic and socially prosperous and peaceful society as much as anyone else. I absolutely hope the next four years end in a better country than we have today, although my confidence is severely lacking. But the thing with democracy is you get out of it what you put into it. So we will all reap any benefits and consequences of our collective decision, whether they be mild or severe. And it's on all of us, whatever happens. ",with news of ice raid starting to deter immigrant farm worker from showing up to work and the price of food poised to sky rocket the u deserves every possible consequence of giving donald trump power again hopefully once family literally begin starving because they can t afford to buy food the huge population of minority folk are consciously excluded from college and the workplace because they can be discriminated against and very preventable disease make a comeback because of anti vaccine conspiracy being an official government position america will wake the fuck up and realize that s not the type of country we want to live in or maybe it is i guess we ll find out here shortly edit holy cow i had no idea this post wa going to blow up like this i thought maybe only a dozen or so people would see this but just to be clear since my initial post may have come off fairly insensitive i absolutely do not want any of our citizen to suffer or have to deal with unnecessary hardship i want an economic and socially prosperous and peaceful society a much a anyone else i absolutely hope the next four year end in a better country than we have today although my confidence is severely lacking but the thing with democracy is you get out of it what you put into it so we will all reap any benefit and consequence of our collective decision whether they be mild or severe and it s on all of u whatever happens
Conscious-Quarter423,Trump RAISES prescription drug costs by as much as 4200%.,"Trump RAISES prescription drug costs by as much as 4200%.  
  
He just reversed all the cost caps Biden negotiated for anyone on Medicare or Medicaid, over 120 MILLION Americans.  
  
He's pro Big Pharma -- and pro Big Insurance.  
  
He doesn't care about you.  It was all LIES.",trump raise prescription drug cost by a much a he just reversed all the cost cap biden negotiated for anyone on medicare or medicaid over million american he s pro big pharma and pro big insurance he doesn t care about you it wa all lie
